id,category,url,name,description,price,dimensions,materials
364354C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/ball-chain-necklace/364354C00.html,Ball Chain Necklace,Add rhythm to your look. Our 14k gold-plated beaded chain brings modern texture and shine to any outfit. Wear it solo or style it with up to three charms or dangles.,$125.00,1.5mm deep,['14k gold plating']
763439C00,charms,https://us.pandora.net/en/charms/be-love-engravable-heart-charm/763439C00.html,Be Love Engravable Heart Charm,"Make your mark on our engravable heart charm. Crafted in rich 14k gold plating, our polished heart is the perfect canvas for your message of love.",$58.00,"8.1mm deep, 10.6mm high, 11.4mm wide",['14k gold plating']
763998C00,charms,https://us.pandora.net/en/charms/heart-mini-charm/763998C00.html,Heart Mini Charm,"A new look for charms: our iconic Be Love heart now shines in a polished 14k gold-plated mini version. Smaller in size but full of warmth, it’s perfect to add subtle love to your everyday style.",$42.00,"6.6mm deep, 7.4mm high, 7.8mm wide",['14k gold plating']
764358C00,charms,https://us.pandora.net/en/charms/charms/openwork-heart-padlock-charm/764358C00.html,Openwork Heart Padlock Charm,"Lock in your love. This 14k gold-plated charm features an openwork heart with a centered padlock, symbolizing trust, commitment, and the strength of lasting bonds.",$45.00,"6.8mm deep, 11.9mm high, 9.4mm wide",['14k gold plating']
354444C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/pandora-era-figaro-chain-necklace/354444C00.html,Pandora Era Figaro Chain Necklace,"Elevate your everyday Our 14k gold Figaro chain combines timeless style with modern versatility at three lengths, ideal for layering with your favorite lab-grown diamond necklaces or styling with pendants.",$328.00,1.6mm wide,['14k gold']
564390C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/triple-stone-heart-bracelet/564390C01.html,Triple Stone Heart Bracelet,"When you love someone, let them glow. Three sparkling stones form each heart on this 14k gold-plated bracelet – with an extra accenting the clasp. The perfect gift to show just how much you care.",$228.00,,"['Cubic zirconia', '14k gold plating']"
764052C00,charms,https://us.pandora.net/en/charms/textured-sun-mini-charm/764052C00.html,Textured Sun Mini Charm,"Small symbols make a big impact. Light up the room with our 14k gold-plated mini sun charm. Its diamond-point texture reminds you that when you radiate warmth, the world shines back.",$45.00,"6.8mm deep, 8mm high, 7.8mm wide",['14k gold plating']
764000C00,charms,https://us.pandora.net/en/charms/textured-heart-mini-charm/764000C00.html,Textured Heart Mini Charm,"A new look for charms: our iconic Be Love heart now shines in 14k gold plating with a textured finish. Smaller in size but full of meaning, it’s perfect to add subtle love to your everyday style.",$45.00,"6.6mm deep, 7.4mm high, 7.8mm wide",['14k gold plating']
363334C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/linked-hearts-collier-necklace/363334C00.html,Linked Hearts Collier Necklace,Go for delicate elegance when you choose the Linked Hearts Collier Necklace. Tiny 14k gold-plated linked hearts form an adjustable chain necklace. This design takes a classic shape and reinvents it in the form of a scale,$125.00,"0.4mm deep, 2.6mm high",['14k gold plating']
794054C00,charms,https://us.pandora.net/en/charms/textured-moon-mini-charm/794054C00.html,Textured Moon Mini Charm,"We’re over the moon about Pandora Minis — and we think you will be too. Our sterling silver mini moon charm, featuring a diamond-point texture, is a shining reminder that even in darkness, your light is your guide.",$35.00,"6.6mm deep, 7.6mm high, 6.2mm wide",['Sterling silver']
794519C00,charms,https://us.pandora.net/en/charms/charms/butterfly-mini-charm/794519C00.html,Butterfly Mini Charm,"Small wings, big meaning. Crafted in polished sterling silver, our mini butterfly charm is a delicate nod to transformation. Perfect for marking a moment of change or quiet growth.",$32.00,"6.5mm deep, 7.3mm high, 9mm wide",['Sterling silver']
794047C00,charms,https://us.pandora.net/en/charms/charms/textured-clover-mini-charm/794047C00.html,Textured Clover Mini Charm,"Luck is in the little things. This mini sterling silver clover charm features a diamond-point texture that sparkles subtly, bringing hopeful energy to any jewelry styling.",$35.00,"6.5mm deep, 8mm high, 8mm wide",['Sterling silver']
794475C01,charms,https://us.pandora.net/en/charms/charms/entwined-heart-butterfly-charm/794475C01.html,Entwined Heart & Butterfly Charm,"Wrap them in love. Crafted in sterling silver, our openwork charm features a heart entwined with a pink enamel butterfly. Finished with the engravings 'Together' and 'we have it all', it's a meaningful gift.",$35.00,"9mm deep, 11.3mm high, 12mm wide","['Sterling silver', 'Enamel']"
764369C01,charms,https://us.pandora.net/en/charms/dangle-charms/butterfly-openwork-charm/764369C01.html,Butterfly Openwork Charm,"Add golden wings to your collection with our openwork charm. Crafted in 14k gold plating and set with sparkling stones, wear it as a reminder that - just like you - nature is always transforming.",$45.00,"6.9mm deep, 9mm high, 10.3mm wide","['Cubic zirconia', '14k gold plating']"
794498C01,charms,https://us.pandora.net/en/charms/charms/disney-stitch-easter-bunny-charm/794498C01.html,Disney Stitch Easter Bunny Charm,"Bite into spring with our latest Disney's Stitch charm. Crafted in sterling silver, Stitch hops into the season with floppy bunny ears and an enamelled stone carrot, all with his trademark mischief in tow.",$88.00,"10mm deep, 18mm high, 14.2mm wide","['Sterling silver', 'Enamel']"
794488C00,charms,https://us.pandora.net/en/charms/charms/tulip-openwork-charm/794488C00.html,Tulip Openwork Charm,"Add a floral touch to your charm collection with our modern openwork tulip. Crafted in sterling silver, carry it as a reminder that nature keeps blooming.",$25.00,"9mm deep, 12mm high, 7.75mm wide",['Sterling silver']
PSA2671,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/elevated-tiana-charm-bracelet-set/PSA2671.html,Elevated Tiana Charm Bracelet Set,"Bloom where you are, like Disney’s Tiana. This Disney Princess set pairs a sterling silver storybook snake chain bracelet with Tiana’s lotus flower charm, finished with lab-grown diamonds and gold-plated accents.",$465.00,,
764432C01,early-access-new-arrivals,https://us.pandora.net/en/early-access-new-arrivals/2026-pink-sea-turtle-lab-grown-diamond-dangle-charm/764432C01.html,2026 Pink Sea Turtle Lab-grown Diamond Dangle Charm,"Slow down, sparkle more. Our 2026 My Pandora Charm is a sterling silver and 14k gold-plated turtle dangle, featuring a 0.007 ct lab-grown diamond, moveable limbs and the engraving “TRUST THE JOURNEY 2026”.",$88.00,"5.45mm deep, 13.2mm high, 14.5mm wide","['Lab-Grown Diamond', 'Sterling silver', '14k gold plating', 'Enamel']"
NAMPS0149,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/happy-birthday-to-you-charm-bracelet-set/NAMPS0149.html,Happy Birthday To You Charm Bracelet Set,"Say ""Happy Birthday"" the best way we know with this gorgeous birthday bracelet set. This set features the birthday charm and charm bracelet our customers love the most. Engraved with ""Make a wish!"" on the back, it truly",$160.00,,
794486C01,charms,https://us.pandora.net/en/charms/charms/family-tree-openwork-charm/794486C01.html,Family Tree Openwork Charm,"Celebrate your bonds with our openwork family tree charm. Crafted in sterling silver with man-made crystals and sparkling stones, wear it as a symbol of your roots and the beauty of nature and family.",$52.00,"7.6mm deep, 10.75mm high, 12mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
764487C01,charms,https://us.pandora.net/en/charms/charms/oversized-butterfly-openwork-charm/764487C01.html,Oversized Butterfly Openwork Charm,"Spread your wings with our oversized butterfly charm. Featuring an openwork design with plique-a-jour resin and floating stones, our 14k gold-plated charm symbolizes nature's power to transform.",$125.00,"12mm deep, 26mm high, 22mm wide","['Cubic zirconia', '14k gold plating', 'UV resin']"
NAMPS0510,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/mother-daughter-splittable-heart-charm-and-bracelet-set/NAMPS0510.html,Mother Daughter Splittable Heart Charm and Bracelet Set,"This set includes two beautiful pieces of jewelry that celebrate the special bond between a mother and daughter. The first item is the Double Heart Split Dangle Charm, a sterling silver double dangle charm, one with a cu",$153.00,,
PSA2707,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/thank-you-mom-spring-charm-trio-set/PSA2707.html,Thank you mom spring charm trio set,"Rooted in what matters.  This set features three sterling silver charms inspired by blooming forms and lasting bonds, brought to life with shining stone detailing. A sparkling tribute to the family that carries you forwa",$181.00,,
794553C01,charms,https://us.pandora.net/en/charms/charms/pink-snail-charm/794553C01.html,Pink Snail Charm,Add a new friend to your garden of charms. Our sterling silver snail is painted in pink enamel and finished with pink and clear cubic zirconia stones. Carry it as a reminder that growth takes patience and persistence.,$65.00,"12.2mm deep, 12mm high, 10.4mm wide","['Cubic zirconia', 'Sterling silver', 'Enamel']"
794461C01,charms,https://us.pandora.net/en/charms/charms/sparkling-blue-2026-graduation-cap-charm/794461C01.html,Sparkling Blue 2026 Graduation Cap Charm,"Crafted in sterling silver with sparkling stone and man-made crystal details, this charm features the engravings 'CONGRATS' and 'YOU made it', as well as a moveable tassel.",$58.00,"7.6mm deep, 17mm high, 12.5mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
764453C01,charms,https://us.pandora.net/en/charms/dangle-charms/two-tone-blooming-flower-dangle-charm/764453C01.html,Two-Tone Blooming Flower Dangle Charm,"Bloom with gratitude. Our sterling silver flower dangle opens in three layered petals with a 14k gold-plated center, a green man-made crystal and glittery pink resin, complete with an engraved 'Thank you' on the disc.",$98.00,"10mm deep, 16.5mm high, 9.5mm wide","['Man-made crystal', 'Sterling silver', 'Enamel']"
794484C01,charms,https://us.pandora.net/en/charms/dangle-charms/love-birds-splittable-dangle-charm/794484C01.html,Love Birds Splittable Dangle Charm,"Share the love with our splittable charm. Crafted in sterling silver with colorful enamel, each dangle charm is finished with a meaningful engraving: 'Birds of a feather' on one and 'We stick together' on the other.",$98.00,"5.25mm deep, 11.3mm high, 10.5mm wide","['Man-made crystal', 'Sterling silver', 'Enamel']"
764490C01,charms,https://us.pandora.net/en/charms/dangle-charms/cicada-dangle-charm/764490C01.html,Cicada Dangle Charm,"Our 14k gold-plated cicada charm features glittery plique-a-jour resin wings, sparkling eyes and a body that emits a soft sound. Turn it over to reveal the engraved message 'Listen to your heart'.",$88.00,"7.6mm deep, 13mm high, 8mm wide","['Cubic zirconia', '14k gold plating', 'UV resin']"
PSA2701,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/cherry-blossom-full-collection-set/PSA2701.html,Cherry Blossom full collection set,"Live in full bloom with this sterling silver set. Pink enamel petals shine from matching earrings, ring, danlge charm and chain. Wear them together of separate for pretty pops of colour.",$349.00,,
PSA2706,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/mixed-metal-butterfly-charm-necklace-set/PSA2706.html,Mixed metal Butterfly Charm Necklace Set,"A little lift worn daily. This set combines a sterling silver chain necklace with an oversized openwork butterfly charm in 14k gold plating, finished with floating stones. A gentle reminder of transformation, strength an",$293.00,,
PSA2700,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/graduation-cap-charm-necklace-set/PSA2700.html,Graduation Cap Charm Necklace Set,Hats off to the new grad. Commemorate a big moment with this sterling silver graduation cap charm and necklace. All shine. No notes.,$226.00,,
PSA2703,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/disney-stitch-easter-bunny-charm-bracelet/PSA2703.html,DIsney Stitch Easter Bunny Charm Bracelet,"Double the mischeif. Double Disney's Stitch. Set in sterling silver, this duo pairs a bunny Stitch with a Stitch snake chain bracelet, so you can carry your favorite friend wherever you go.",$220.00,,
NAMPS0587,gifts,https://us.pandora.net/en/gifts/popular-gifts/engravable-jewelry/engravable-heart-charm-bracelet-set/NAMPS0587.html,Engravable Heart Charm Bracelet Set,"Our Engravable Heart Charm Bracelet Set is all about love and style! Made from .925 sterling silver, it's not just jewelry, it's a statement. Picture this: a stunning heart-shaped charm hanging from a chic bracelet, wait",$123.00,,
PSA2702,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/congrats-grad-charm-bracelet-set/PSA2702.html,Congrats Grad Charm Bracelet Set,Hats off to the new grad. Commemorate a big moment with this sterling silver graduation cap charm and heart chain bracelet. All shine. No notes.,$136.00,,
794378C01,charms,https://us.pandora.net/en/charms/charms/disney-stitch-rose-murano-glass-charm/794378C01.html,Disney Stitch Rose Murano Glass Charm,"If chaos is your love language, this charm’s for you. Our sterling silver Disney’s Stitch charm features a red Murano glass rose and black and green enamel, perfectly capturing Stitch’s lovable yet mischievous spirit.",$98.00,"11.5mm deep, 14.3mm high, 14.7mm wide","['Sterling silver', 'Enamel']"
