id,category,url,name,description,price,dimensions,materials
293545C01,earrings,https://us.pandora.net/en/earrings/sparkling-bow-row-hoop-earrings/293545C01.html,Sparkling Bow Row Hoop Earrings,"Add a light-filled touch to your look with the Sparkling Bow Row Hoop Earrings. Featuring faceted stones that form bows on top of a hoop, this versatile style is crafted in sterling silver and shines with a cool glow. Pe",$122.50,"26.4mm deep, 25.7mm high, 8.4mm wide","['Cubic zirconia', 'Sterling silver']"
293506C01,earrings,https://us.pandora.net/en/earrings/sparkling-bow-stud-earrings/293506C01.html,Sparkling Bow Stud Earrings,"Add a light-filled touch to your look with the Sparkling Bow Stud Earrings. Featuring faceted stones that form a bow, this versatile style is crafted in sterling silver and shines with a cool glow. Perfect for wearing wi",$95.00,"4.1mm deep, 5.8mm high, 11.2mm wide","['Cubic zirconia', 'Sterling silver']"
293543C01,earrings,https://us.pandora.net/en/earrings/final-sale---sparkling-bow-drop-earrings/293543C01.html,FINAL SALE - Sparkling Bow Drop Earrings,"Add a light-filled touch to your look with the Sparkling Bow Drop Earrings. Featuring faceted stones that form a bow suspended from a sparkling stud, this versatile style is crafted in sterling silver. This unique earrin",$67.99,"5.1mm deep, 16.2mm high, 9.3mm wide","['Cubic zirconia', 'Sterling silver']"
293587C01,earrings,https://us.pandora.net/en/earrings/final-sale---sparkling-north-star-stud-earrings/293587C01.html,FINAL SALE - Sparkling North Star Stud Earrings,"Light up your look with the Sparkling North Star Stud Earrings in sterling silver. Featuring the symbolic design of the Polaris shining with clear cubic zirconia, these earrings add a celestial glow to your look with a l",$37.99,"2.1mm deep, 11.9mm high, 9mm wide","['Cubic zirconia', 'Sterling silver']"
293015C01,earrings,https://us.pandora.net/en/earrings/hoop-earrings/sparkling-huggie-hoop-earrings/293015C01.html,Sparkling Huggie Hoop Earrings,"Choose delicate sparkle when you wear the Sparkling Huggie Hoop Earrings. An essential for every collection, these sterling silver hoop earrings are set with a row of clear cubic zirconia. Versatile and classic, these ho",$75.00,"11.5mm deep, 10.9mm high, 1.8mm wide","['Cubic zirconia', 'Sterling silver']"
291445C01,earrings,https://us.pandora.net/en/earrings/hoop-earrings/sparkling-halo-heart-hoop-earrings/291445C01.html,Sparkling Halo Heart Hoop Earrings,"A gift of love for an elegant mom, the Sparkling Halo Heart Hoop Earrings each feature a heart-shaped pink cubic zirconia dangle surrounded by a pavé halo. The pavé on the hoop is accented with round clear cubic zirconia",$155.00,"15.67mm deep, 24.67mm high, 8.07mm wide","['Cubic zirconia', 'Sterling silver']"
B802693,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/halo-heart-trio-jewelry-gift-set/B802693.html,Halo Heart Trio Jewelry Gift Set,"Celebrate every kind of love. This sterling silver gift set features a triple heart necklace adjustable to three lengths along with matching stud earrings, both shimmering with clear cubic zirconia halos.",$158.20,,"['Cubic zirconia', 'Sterling silver']"
B802692,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/elevated-heart-key-jewelry-gift-set/B802692.html,Elevated Heart Key Jewelry Gift Set,Love in the details. Sterling silver earrings and a heart key necklace sparkle with stones for a set that feels elegant and full of meaning.,$138.60,,['Sterling silver']
B802695,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/sparkling-heart-padlock-jewelry-gift-set/B802695.html,Sparkling Heart Padlock Jewelry Gift Set,"Lock in love. This sterling silver gift set pairs a heart padlock necklace with matching stud earrings, each shimmering with stones as a symbol of your unbreakable bond and timeless connection.",$114.10,,"['Cubic zirconia', 'Sterling silver']"
B802691,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/golden-heart-halo-jewelry-gift-set/B802691.html,Golden Heart Halo Jewelry Gift Set,"Mark your moment. This 14k gold-plated gift set features a halo heart necklace with space to engrave a name or date, paired with sparkling stud earrings, all set with clear cubic zirconia.",$177.10,,"['Cubic zirconia', '14k gold plating']"
