id,category,url,name,description,price,dimensions,materials
394398C01,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/bridgerton-blue-bow-necklace/394398C01.html,Bridgerton Blue Bow Necklace,"Be the talk of the Ton. Crafted in sterling silver, this Bridgerton-inspired necklace features a row of blue bow-set crystals accented by cubic zirconia. Elegantly spaced, it adds Regency charm to any look.",$570.00,"3.8mm deep, 8.5mm high, 303mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
364394C01,necklaces,https://us.pandora.net/en/necklaces/pendant-necklaces/bridgerton-herbarium-bee-choker/364394C01.html,Bridgerton Herbarium & Bee Choker,Step into your own garden of delights. Our Bridgerton-inspired choker pairs sterling silver and 14k gold plating with a row of purple herbarium-set crystals along a versatile black cord.,$378.00,"3.6mm deep, 10mm high, 272mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver', '14k gold plating', 'Textiles']"
393091C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/pandora-moments-heart-clasp-snake-chain-necklace/393091C00.html,Pandora Moments Heart Clasp Snake Chain Necklace,Our classic heart charm meets our iconic snake chain to create the Pandora Moments Heart Clasp Snake Chain Necklace - a tribute to all things Pandora. This snake chain necklace can hold all sizes of the Pandora O Pendant,$175.00,"9.2mm deep, 10.6mm high, 12mm wide",['Sterling silver']
362451C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/studded-chain-necklace/362451C00.html,Studded Chain Necklace,"Update your collection. Hand-finished in 14k gold plating, this studded chain necklace features a flexible, textured chain that's the definition of modernity. An infinity-detailed openable heart clasp adds a sweet touch.",$295.00,"4.4mm deep, 11.4mm high, 14.5mm wide",['14k gold plating']
398283,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/curb-chain-necklace/398283.html,Curb Chain Necklace,"No jewelry collection is complete without a simple versatile necklace that can be worn by itself or accessorized with your favorite pendants. One of the most essential pieces for any wardrobe, our sterling silver necklac",$75.00,"0.82mm deep, 4mm high, 4mm wide",['Sterling silver']
368638C00,necklaces,https://us.pandora.net/en/necklaces/chain-necklaces/curb-chain-necklace/368638C00.html,Curb Chain Necklace,"No jewelry collection is complete without a simple versatile necklace that can be worn by itself or accessorized with your favorite pendants. One of the most essential pieces for any wardrobe, our 14k gold-plated Curb Ch",$175.00,1.5mm wide,['14k gold plating']
394416C01,necklaces,https://us.pandora.net/en/necklaces/pendant-necklaces/sparkling-heart-padlock-pendant-necklace/394416C01.html,Sparkling Heart Padlock Pendant Necklace,"Lock in to love with our sterling silver heart padlock pendant. Shining with cubic zirconia in varying sizes to form a heart, it features a central padlock as a symbol of love and unity.",$98.00,"1.8mm deep, 14.9mm high, 12.4mm wide","['Cubic zirconia', 'Sterling silver']"
394412C01,necklaces,https://us.pandora.net/en/necklaces/pendant-necklaces/halo-heart-trilogy-collier-necklace/394412C01.html,Halo Heart Trilogy Collier Necklace,"Shine with love. Our sterling silver collier features three heart-shaped cubic zirconia, framed in a radiant halo and joined in perfect harmony. With a fixed pendant and a delicate dangling stone near the clasp",$128.00,"3.4mm deep, 8mm high, 17mm wide","['Cubic zirconia', 'Sterling silver']"
364364C01,necklaces,https://us.pandora.net/en/necklaces/pendant-necklaces/engravable-heart-halo-collier-necklace/364364C01.html,Engravable Heart Halo Collier Necklace,"Hold love close. Our 14k gold-plated collier features a centered, engravable heart framed by clear cubic zirconia. Fixed to a delicate cable chain, it’s designed to keep names, dates or sentiments close to your heart.",$165.00,"3.4mm deep, 7.7mm high, 7.5mm wide","['Cubic zirconia', '14k gold plating']"
394392C01,necklaces,https://us.pandora.net/en/necklaces/pendant-necklaces/elevated-heart-key-collier-necklace/394392C01.html,Elevated Heart Key Collier Necklace,Unlock sparkle. Our sterling silver heart key pendant features a vibrant red crystal surrounded by clear cubic zirconia accents. Wear it at three different lengths to complement any look.,$118.00,"4mm deep, 17mm high, 7mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
