id,category,url,name,description,price,dimensions,materials
194337C01,jewelry,https://us.pandora.net/en/jewelry/best-sellers/bridgerton-blue-bow-ring/194337C01.html,Bridgerton Blue Bow Ring,"The belle of all bows. Crafted in sterling silver, this Bridgerton-inspired ring features a delicate bow set with dream blue crystals and clear stones, finished with a soft dangle detail.",$105.00,"4.5mm deep, 10.5mm high, 11mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
164399C01,rings,https://us.pandora.net/en/rings/statement-rings/bridgerton-bee-treated-freshwater-cultured-pearl-flower-open-ring/164399C01.html,Bridgerton Bee & Treated Freshwater Cultured Pearl Flower Open Ring,"Treated freshwater cultured pearls meet a 14k gold plated bee – a ring inspired by the romantic world of Bridgerton, set with stones in a modern, open design.",$168.00,"5mm deep, 9.4mm high, 10.5mm wide","['Treated, freshwater cultured pearl', 'Cubic zirconia', 'Sterling silver', '14k gold plating']"
164395C01,rings,https://us.pandora.net/en/rings/statement-rings/bridgerton-herbarium-bee-ring/164395C01.html,Bridgerton Herbarium & Bee Ring,"Romanticize your life with our Bridgerton-inspired ring. Combining sterling silver and 14k gold plating, it features orchid purple crystals and a sparkling bee as a nod to Regency romance.",$205.00,"2.8mm deep, 10mm high","['Cubic zirconia', 'Man-made crystal', 'Sterling silver', '14k gold plating']"
194233C01,rings,https://us.pandora.net/en/rings/statement-rings/bow-station-ring/194233C01.html,Bow Station Ring,Get wrapped up in sparkle. This sterling silver ring features three bows delicately set with stones as a nod to life’s carefully tied moments.,$105.00,"3.3mm deep, 3.8mm high, 6.8mm wide","['Cubic zirconia', 'Sterling silver']"
198421C01,rings,https://us.pandora.net/en/rings/promise-rings/elevated-heart-ring/198421C01.html,Elevated Heart Ring,Celebrate the spirit of love with an eye-catching ring that is both elegant and sophisticated. The elevated cubic zirconia setting on this sterling silver ring enhances each stone’s natural brilliance and sparkle to symb,$98.00,,"['Cubic zirconia', 'Sterling silver']"
194269C03,rings,https://us.pandora.net/en/rings/statement-rings/sparkling-butterfly-ring/194269C03.html,Sparkling Butterfly Ring,Add subtle sparkle to your look. This sterling silver ring features clear cubic zirconia with a butterfly set at an angle as a symbol of transformation and beauty.,$75.00,,"['Cubic zirconia', 'Sterling silver']"
194413C01,rings,https://us.pandora.net/en/rings/promise-rings/halo-heart-trilogy-ring/194413C01.html,Halo Heart Trilogy Ring,"For the past, present and future. Crafted in sterling silver, this ring is set with three heart-shaped stones connected by a halo of pavé. A sparkling symbol of love in all its stages.",$118.00,"3.7mm deep, 6.7mm high, 16.4mm wide","['Cubic zirconia', 'Sterling silver']"
164386C01,rings,https://us.pandora.net/en/rings/statement-rings/heart-cuban-chain-ring/164386C01.html,Heart Cuban Chain Ring,"Go for bold. Our 14k gold-plated Cuban chain ring features one bezel-set heart-shaped cubic zirconia, blending modern romance with effortless edge.",$115.00,"2.85mm deep, 5mm high, 5mm wide","['Cubic zirconia', '14k gold plating']"
192999C02,rings,https://us.pandora.net/en/rings/band-rings/sparkling-pink-band-ring/192999C02.html,Sparkling Pink Band Ring,"Endless shine for your endless love. This sterling silver band is set with pink cubic zirconia all the way around, symbolizing connection that never ends and brilliance from every angle.",$55.00,,"['Cubic zirconia', 'Sterling silver']"
194386C01,rings,https://us.pandora.net/en/rings/statement-rings/heart-cuban-chain-ring/194386C01.html,Heart Cuban Chain Ring,"Go for bold. Our sterling silver Cuban chain ring features one bezel-set heart-shaped cubic zirconia, blending modern romance with effortless edge.",$88.00,"2.7mm deep, 4.8mm high, 5mm wide","['Cubic zirconia', 'Sterling silver']"
198421C01,rings,https://us.pandora.net/en/rings/promise-rings/elevated-heart-ring/198421C01.html,Elevated Heart Ring,Celebrate the spirit of love with an eye-catching ring that is both elegant and sophisticated. The elevated cubic zirconia setting on this sterling silver ring enhances each stone’s natural brilliance and sparkle to symb,$98.00,,"['Cubic zirconia', 'Sterling silver']"
198421C02,rings,https://us.pandora.net/en/rings/statement-rings/elevated-red-heart-ring/198421C02.html,Elevated Red Heart Ring,"Add a dash of love to your look. In this sterling silver ring, a heart-shaped red stone takes center stage, raised slightly for extra impact. A cubic zirconia halo and sparkling pavé on the front half of the band make th",$98.00,,"['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
193988C00,rings,https://us.pandora.net/en/rings/stackable-rings/engravable-heart-ring/193988C00.html,Engravable Heart Ring,"Celebrate love and connection with our sterling silver heart-shaped ring, ready to engrave with a meaningful message.",$75.00,"2mm deep, 11.7mm high, 11.3mm wide",['Sterling silver']
163988C00,rings,https://us.pandora.net/en/rings/stackable-rings/engravable-heart-ring/163988C00.html,Engravable Heart Ring,"Celebrate love and connection with our 14k gold-plated heart-shaped ring, ready to engrave with a meaningful message.",$98.00,"2mm deep, 11.7mm high, 11.3mm wide",['14k gold plating']
193986C00,rings,https://us.pandora.net/en/rings/stackable-rings/engravable-bar-ring/193986C00.html,Engravable Bar Ring,"Leave your mark on personal style. Crafted in sterling silver, this ring features a blank bar canvas ready to customize with an engraving.",$58.00,"1.7mm deep, 3.9mm high, 13.6mm wide",['Sterling silver']
163986C00,rings,https://us.pandora.net/en/rings/stackable-rings/engravable-bar-ring/163986C00.html,Engravable Bar Ring,"Leave your mark on personal style. Crafted in 14k gold plating, this ring features a blank bar canvas ready to customize with an engraving.",$78.00,"1.7mm deep, 3.9mm high, 13.6mm wide",['14k gold plating']
193801C01,rings,https://us.pandora.net/en/rings/statement-rings/engravable-heart-halo-ring/193801C01.html,Engravable Heart Halo Ring,Make it personal with the Engravable Heart Halo Ring. This sterling silver ring features a center heart surrounded by sparkling pavé. The polished heart is designed to be engraved with your custom message. Choose initial,$65.00,"3.9mm deep, 7.7mm high, 7.7mm wide","['Cubic zirconia', 'Sterling silver']"
163800C01,rings,https://us.pandora.net/en/rings/statement-rings/engravable-oval-halo-ring/163800C01.html,Engravable Oval Halo Ring,"Make it personal with the Engravable Oval Halo Ring. This 14k gold-plated ring features a center oval surrounded by sparkling pavé. The polished heart is designed to be engraved with your custom message. Choose initials,",$88.00,"4mm deep, 8.8mm high, 7.3mm wide","['Cubic zirconia', '14k gold plating']"
154445C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-triple-stone-ring/154445C01.html,Pandora Era Lab-Grown Diamond Triple Stone Ring,"A new kind of diamond ring. Featuring three lab-grown diamonds at its center, prong settings allow light to pass through the stones and cast brilliant reflections all around.",$275.00,"2.3mm deep, 3.15mm high, 7.6mm wide","['Lab-grown diamond', '14k white gold']"
154446C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-trio-ring/154446C01.html,Pandora Era Lab Grown Diamond Trio Ring,"This delicate ring features three prong-set round brilliant lab-grown diamonds, set vertically at the center of a 14k white gold band. Perfect for stacking or wearing solo, it adds unique sparkle to any look.",$248.00,"2.1mm deep, 7mm high, 2.7mm wide","['Lab-grown diamond', '14k white gold']"
154447C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-open-ring/154447C01.html,Pandora Era Lab-Grown Diamond Open Ring,"Featuring two round bezel-set lab-grown diamonds, this open ring is crafted from solid 14k white gold. Perfect for stacking, it adds a modern touch to any ensemble with its delicate, minimalist aesthetic.",$248.00,"1.8mm deep, 2.5mm high, 2.5mm wide","['Lab-grown diamond', '14k white gold']"
154003C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-half-eternity-pave-band-ring/154003C01.html,Pandora Era Lab-Grown Diamond Half Eternity Pavé Band Ring,"Shine bright with lab-grown diamonds. This elegant band features a row of micro lab-grown diamonds, perfectly capturing the essence of modern luxury.",$388.00,"1.7mm deep, 1.5mm high","['Lab-grown diamond', '14k white gold']"
154314C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamonds-14k-white-gold-eternity-ring/154314C01.html,Pandora Era Lab-Grown Diamonds 14k White Gold Eternity Ring,"Let the light in with this radiant lab-grown diamond ring. Craft a refined yet classic aesthetic with 14k white gold, and elevate any look with a ring to love for a lifetime.",$948.00,,"['Lab-Grown Diamond', '14k white gold']"
